Year,Price,Price Relative to 2010,Yearly Price Change
2010,1419.5,1,1
2011,1563.8,1.101655513,1.101655513
2012,1674.5,1.179640719,1.070789103
2013,1205.3,0.849101796,0.719796954
2014,1181.6,0.832405777,0.980336846
2015,1060.2,0.746882705,0.897257955
2016,1151.5,0.811201127,1.086115827
2017,1302.5,0.917576611,1.131133304
2018,1282.2,0.903275801,0.984414587
2019,1517.7,1.069179288,1.183668694
2020,1889.1,1.330820712,1.244712394
